date,price
2024-01-01,6088
2024-01-02,6086
2024-01-03,6091
2024-01-04,6156
2024-01-05,6090
2024-01-06,5980
2024-01-07,6127
2024-01-08,6079
2024-01-09,6083
2024-01-10,6109
2024-01-11,6119
2024-01-12,6193
2024-01-13,6153
2024-01-14,6109
2024-01-15,6041
2024-01-16,6019
2024-01-17,6120
2024-01-18,6205
2024-01-19,6103
2024-01-20,6091
2024-01-21,6143
2024-01-22,5984
2024-01-23,6075
2024-01-24,6139
2024-01-25,6170
2024-01-26,6081
2024-01-27,6130
2024-01-28,6120
2024-01-29,6163
2024-01-30,6011
2024-01-31,6145
2024-02-01,7140
2024-02-02,7051
2024-02-03,7212
2024-02-04,7188
2024-02-05,7331
2024-02-06,7314
2024-02-07,7163
2024-02-08,7329
2024-02-09,7181
2024-02-10,7254
2024-02-11,7237
2024-02-12,7270
2024-02-13,7326
2024-02-14,7312
2024-02-15,7289
2024-02-16,7313
2024-02-17,7299
2024-02-18,7211
2024-02-19,7204
2024-02-20,7223
2024-02-21,7301
2024-02-22,7241
2024-02-23,7448
2024-02-24,7195
2024-02-25,7173
2024-02-26,7322
2024-02-27,7375
2024-02-28,7301
2024-02-29,7328
2024-03-01,7014
2024-03-02,6892
2024-03-03,6786
2024-03-04,6857
2024-03-05,6976
2024-03-06,6785
2024-03-07,6903
2024-03-08,6920
2024-03-09,6875
2024-03-10,6958
2024-03-11,6946
2024-03-12,7086
2024-03-13,6950
2024-03-14,6851
2024-03-15,6855
2024-03-16,6833
2024-03-17,6976
2024-03-18,6855
2024-03-19,6894
2024-03-20,6960
2024-03-21,6842
2024-03-22,6877
2024-03-23,6753
2024-03-24,6813
2024-03-25,6855
2024-03-26,6933
2024-03-27,6995
2024-03-28,6899
2024-03-29,6921
2024-03-30,6913
2024-03-31,6987
2024-04-01,5757
2024-04-02,5708
2024-04-03,5605
2024-04-04,5758
2024-04-05,5716
2024-04-06,5784
2024-04-07,5684
2024-04-08,5842
2024-04-09,5657
2024-04-10,5813
2024-04-11,5695
2024-04-12,5645
2024-04-13,5596
2024-04-14,5674
2024-04-15,5800
2024-04-16,5751
2024-04-17,5741
2024-04-18,5496
2024-04-19,5743
2024-04-20,5730
2024-04-21,5642
2024-04-22,5636
2024-04-23,5686
2024-04-24,5824
2024-04-25,5602
2024-04-26,5652
2024-04-27,5795
2024-04-28,5650
2024-04-29,5657
2024-04-30,5694
2024-05-01,5951
2024-05-02,6068
2024-05-03,5953
2024-05-04,6121
2024-05-05,6050
2024-05-06,6233
2024-05-07,6072
2024-05-08,6159
2024-05-09,5946
2024-05-10,6040
2024-05-11,6076
2024-05-12,6190
2024-05-13,5916
2024-05-14,6129
2024-05-15,6097
2024-05-16,6173
2024-05-17,6107
2024-05-18,6054
2024-05-19,6008
2024-05-20,5950
2024-05-21,6066
2024-05-22,6035
2024-05-23,6212
2024-05-24,6001
2024-05-25,6076
2024-05-26,5924
2024-05-27,6018
2024-05-28,6071
2024-05-29,6116
2024-05-30,6166
2024-05-31,6046
2024-06-01,6091
2024-06-02,6217
2024-06-03,6221
2024-06-04,6219
2024-06-05,6124
2024-06-06,6271
2024-06-07,6187
2024-06-08,6236
2024-06-09,6282
2024-06-10,6229
2024-06-11,6203
